activity,x,y,z,alpha,beta,gamma,ts
string,float,float,float,float,float,float,datetime
S,,,,,,T
Rest,-0.140210430156,0.070180037305,-10.0616325864,0.284597280767,-0.0957941968521,0.649643944674,2013-06-22T03:05:38
Rest,-0.111928931358,0.00119710025926,-9.9232176842,0.0787647276524,0.188407873429,-0.0577429728621,2013-06-22T03:05:38
Rest,-0.0839466934259,0.0478840320615,-10.0692642321,-0.198707211728,0.332201111281,-0.341880663274,2013-06-22T03:05:38
Rest,-0.134224926006,-0.0112228197112,-10.0279641621,0.145819709623,-0.376041294119,0.436284069526,2013-06-22T03:05:38
Rest,-0.0852934318598,0.00104746322632,-10.0047701326,0.564981241952,0.534935186432,0.510850125149,2013-06-22T03:05:38
Rest,-0.122403557592,0.034865561676,-10.0227264258,0.42443518542,-0.0268672561315,0.579815985942,2013-06-22T03:05:39
Rest,-0.105793789854,0.0507271453913,-10.0572929132,-0.266491649897,-0.370660225631,-1.04993593216,2013-06-22T03:05:39
Rest,-0.117914428909,0.0393546903596,-10.0505593672,0.0103566603615,0.11877969773,-0.411710276192,2013-06-22T03:05:39
Rest,-0.066888004314,0.0523731618867,-10.0902132957,0.00542341616117,-0.374754790636,0.647232407649,2013-06-22T03:05:39
Rest,-0.144101012421,-0.0154126726164,-10.0629793979,0.148744177846,0.257953513228,-0.128087884867,2013-06-22T03:05:39
Rest,-0.0809539482006,0.0359130251878,-10.0320044505,0.284761472112,-0.306873862704,0.437085682939,2013-06-22T03:05:39
Rest,-0.127341605366,0.00718260469506,-10.0393362364,0.633741183213,-0.0286540609659,0.369027943821,2013-06-22T03:05:39
Rest,-0.117166246027,0.00179565124512,-9.99998189366,0.709720687788,-0.239097415322,-1.32621377572,2013-06-22T03:05:39
Rest,-0.112677117772,0.0185550617959,-10.0577419356,0.283022628679,-0.166182264447,0.79052876258,2013-06-22T03:05:39
Rest,-0.103249944311,0.0411503425145,-10.0088105853,0.778282180037,0.393624202074,-0.971651398825,2013-06-22T03:05:39
Rest,-0.106990882122,-0.0444423683167,-10.0354459144,0.635790079881,0.112830056014,-0.2665018685,2013-06-22T03:05:39
Rest,-0.100706111326,0.0161608606352,-10.0953007915,0.286729553769,-0.235719833417,-0.198574543307,2013-06-22T03:05:39
Rest,-0.0885854591425,0.0386064997008,-10.0575922067,0.0825506134639,0.189990529645,-1.47059927902,2013-06-22T03:05:39
Rest,-0.156371295929,0.0100257197373,-9.99489425166,-0.201333619567,-0.371409278603,-0.342878057656,2013-06-22T03:05:39
Rest,-0.0667383758434,0.0519242496463,-10.0390370708,0.0762709282029,-0.162694225576,-0.19903646153,2013-06-22T03:05:39
Rest,-0.124947395714,0.0190039751067,-10.0532525883,0.492656528913,-0.0967785978662,0.227564961074,2013-06-22T03:05:39
Rest,-0.130035078809,0.0281318688647,-10.0367925067,0.354962850092,0.256760924846,-0.0554142652213,2013-06-22T03:05:39
Rest,-0.0752677101246,-0.00164601357,-9.94431670506,0.564833058863,0.114199775747,-0.33683646185,2013-06-22T03:05:39
Rest,-0.124947399139,0.00748187997393,-10.0765959632,0.00756916277761,0.120398572625,-0.622331352204,2013-06-22T03:05:39
Rest,-0.0935235023499,0.00703296734103,-10.1325606645,0.354563977717,0.1166281081,-0.266883211835,2013-06-22T03:05:39
